Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status,Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
2016-01-19 16:04:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,15,51,301018,31,2016-01-19 15:51:57,2016-01-19 16:31:28,1.0,40,0.5
2016-01-19 16:04:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,16,3,301018,31,2016-01-19 16:03:27,2016-01-19 16:09:43,0.5,8,-1.3
2016-01-19 16:14:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,15,51,301018,31,2016-01-19 15:51:57,2016-01-19 16:31:28,1.0,40,0.5
2016-01-19 16:14:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,16,11,301018,31,2016-01-19 16:11:57,2016-01-19 16:18:12,1.0,6,1.2
2016-01-19 16:18:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,15,51,301018,31,2016-01-19 15:51:57,2016-01-19 16:31:28,1.0,40,0.5
2016-01-19 16:18:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,16,11,301018,31,2016-01-19 16:11:57,2016-01-19 16:18:12,1.0,6,1.2
2016-01-19 16:35:00,EZ Pass AdultZ0,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,16,31,301019,31,2016-01-19 16:32:13,2016-01-19 16:59:28,1.2,28,0.5
2016-01-19 16:35:00,EZ Pass AdultZ0,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,16,31,301019,31,2016-01-19 16:32:13,2016-01-19 16:35:45,1.2,5,-0.3
2016-01-19 16:35:00,EZ Pass AdultZ0,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,16,31,301019,31,2016-01-19 16:32:13,2016-01-19 16:59:28,1.2,28,0.5
2016-01-19 16:35:00,EZ Pass AdultZ0,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,16,31,301019,31,2016-01-19 16:32:13,2016-01-19 16:35:45,1.2,5,-0.3
